Date,Day_of_Week,Month,Weekend,Promotion,Holiday,Temperature,Visitors,Average_Order_Value,Sales
2023-01-01,6,1,1,0,1,24.99,495,23.29,11959.39
2023-01-02,0,1,0,0,0,23.9,331,20.68,7130.94
2023-01-03,1,1,0,0,0,25.64,375,22.7,9575.3
2023-01-04,2,1,0,0,0,27.56,299,22.19,6239.6
2023-01-05,3,1,0,0,0,24.22,329,22.99,7922.72
2023-01-06,4,1,0,0,0,24.39,291,25.05,7307.0
2023-01-07,5,1,1,0,0,28.19,385,28.38,11959.17
2023-01-08,6,1,1,0,0,26.74,439,26.58,12527.24
2023-01-09,0,1,0,0,0,24.43,402,22.69,9173.94
2023-01-10,1,1,0,0,0,26.63,395,25.04,10425.68
2023-01-11,2,1,0,0,0,24.79,299,25.96,8847.64
2023-01-12,3,1,0,0,0,24.95,275,22.94,6440.81
2023-01-13,4,1,0,0,0,26.53,268,23.27,6712.11
2023-01-14,5,1,1,0,0,22.39,383,24.54,9394.73
2023-01-15,6,1,1,0,0,22.94,431,22.84,9913.64
2023-01-16,0,1,0,1,0,25.43,476,26.47,13584.42
2023-01-17,1,1,0,1,0,24.69,508,24.8,13964.39
2023-01-18,2,1,0,1,0,27.51,461,25.11,12367.51
2023-01-19,3,1,0,1,0,25.23,426,22.7,10105.68
2023-01-20,4,1,0,1,0,24.39,382,22.99,9316.52
2023-01-21,5,1,1,0,0,30.31,364,22.42,7756.97
2023-01-22,6,1,1,0,0,27.09,389,20.56,8419.87
2023-01-23,0,1,0,0,0,27.83,344,22.1,7658.23
2023-01-24,1,1,0,0,0,25.01,404,18.91,7120.86
2023-01-25,2,1,0,0,0,26.93,330,19.96,6101.64
2023-01-26,3,1,0,0,0,28.39,381,21.23,7990.05
2023-01-27,4,1,0,0,0,26.03,304,18.01,5126.66
2023-01-28,5,1,1,0,0,29.23,395,19.39,8051.41
2023-01-29,6,1,1,0,0,27.43,405,20.19,9621.82
2023-01-30,0,1,0,0,0,28.2,389,23.37,9757.65
2023-01-31,1,1,0,0,0,27.73,367,21.17,9360.0
2023-02-01,2,2,0,0,0,32.79,360,26.36,10116.43
2023-02-02,3,2,0,0,0,29.21,383,22.17,9799.64
2023-02-03,4,2,0,0,0,27.26,293,23.75,7892.54
2023-02-04,5,2,1,0,0,31.17,423,27.67,12253.42
2023-02-05,6,2,1,0,0,27.23,412,28.67,13256.63
2023-02-06,0,2,0,0,0,30.23,375,27.47,11281.3
2023-02-07,1,2,0,0,0,26.03,429,26.3,11327.85
2023-02-08,2,2,0,0,0,27.43,345,26.02,8410.6
2023-02-09,3,2,0,0,0,30.61,368,25.27,9970.96
2023-02-10,4,2,0,0,0,31.83,316,25.33,7848.06
2023-02-11,5,2,1,0,0,30.83,383,24.53,10328.65
2023-02-12,6,2,1,0,0,30.39,449,23.74,10272.71
2023-02-13,0,2,0,0,0,30.14,403,23.01,9596.82
2023-02-14,1,2,0,0,0,27.91,403,22.26,8273.89
2023-02-15,2,2,0,0,0,29.55,325,21.32,7039.62
2023-02-16,3,2,0,0,0,30.2,307,22.52,6646.42
2023-02-17,4,2,0,0,0,33.35,295,22.42,5869.29
2023-02-18,5,2,1,0,0,32.04,399,22.16,8817.45
2023-02-19,6,2,1,0,0,27.94,452,23.86,11243.56
2023-02-20,0,2,0,0,0,32.23,386,18.12,6700.75
2023-02-21,1,2,0,0,0,30.92,357,19.33,6848.46
2023-02-22,2,2,0,0,0,30.45,376,18.44,7549.2
2023-02-23,3,2,0,0,0,33.13,343,16.71,4809.4
2023-02-24,4,2,0,0,0,34.08,318,19.5,6776.89
2023-02-25,5,2,1,0,0,33.98,430,21.15,9563.58
2023-02-26,6,2,1,0,0,30.54,460,23.91,11094.15
2023-02-27,0,2,0,0,0,31.69,396,21.48,7985.32
2023-02-28,1,2,0,0,0,33.07,392,19.45,7691.16
2023-03-01,2,3,0,0,0,34.45,328,24.26,8590.24
2023-03-02,3,3,0,1,0,31.63,471,27.33,13938.67
2023-03-03,4,3,0,1,0,32.3,442,26.89,13730.74
2023-03-04,5,3,1,1,0,30.55,542,27.68,16040.76
2023-03-05,6,3,1,1,0,30.45,539,27.03,16263.73
2023-03-06,0,3,0,1,0,34.54,489,26.8,13732.85
2023-03-07,1,3,0,0,0,35.71,422,25.8,11366.57
2023-03-08,2,3,0,0,0,32.93,370,27.2,10736.74
2023-03-09,3,3,0,0,0,35.15,350,26.8,9408.88
2023-03-10,4,3,0,0,0,33.93,309,23.75,6318.71
2023-03-11,5,3,1,0,0,31.99,408,24.2,10541.01
2023-03-12,6,3,1,0,0,34.06,466,25.88,12756.61
2023-03-13,0,3,0,0,0,36.47,375,21.21,8057.8
2023-03-14,1,3,0,0,0,33.38,399,23.95,9960.29
2023-03-15,2,3,0,0,0,36.64,361,22.8,7530.6
2023-03-16,3,3,0,0,0,28.32,323,21.82,7780.32
2023-03-17,4,3,0,0,0,35.26,302,19.61,6843.51
2023-03-18,5,3,1,0,0,33.83,414,23.75,9890.91
2023-03-19,6,3,1,0,0,33.1,432,21.68,10359.6
2023-03-20,0,3,0,0,0,33.92,421,18.78,8038.27
2023-03-21,1,3,0,0,1,29.8,456,15.83,7516.46
2023-03-22,2,3,0,0,0,33.37,369,19.79,7185.32
2023-03-23,3,3,0,0,0,34.56,324,22.28,6781.25
2023-03-24,4,3,0,0,0,36.83,347,22.01,7181.54
2023-03-25,5,3,1,0,0,32.86,414,20.33,8854.11
2023-03-26,6,3,1,0,0,32.31,471,20.22,9534.36
2023-03-27,0,3,0,0,0,32.94,353,20.54,6839.88
2023-03-28,1,3,0,0,0,35.79,405,18.64,8006.78
2023-03-29,2,3,0,0,0,34.63,397,20.98,8030.32
2023-03-30,3,3,0,0,0,32.92,337,22.13,8031.29
2023-03-31,4,3,0,0,0,35.02,338,23.32,8405.67
2023-04-01,5,4,1,0,0,34.19,397,23.35,9334.56
2023-04-02,6,4,1,0,0,35.94,480,23.71,11925.9
2023-04-03,0,4,0,0,0,32.6,448,21.7,10600.17
2023-04-04,1,4,0,0,0,33.34,390,22.23,8543.51
2023-04-05,2,4,0,0,0,33.2,363,23.52,8602.42
2023-04-06,3,4,0,0,0,31.05,372,24.72,9621.99
2023-04-07,4,4,0,0,0,34.56,351,25.75,9542.64
2023-04-08,5,4,1,0,0,34.47,397,24.78,10302.35
2023-04-09,6,4,1,0,0,33.94,434,28.23,12482.94
2023-04-10,0,4,0,0,0,33.44,383,23.97,9742.69
2023-04-11,1,4,0,0,0,31.06,365,24.13,9438.1
2023-04-12,2,4,0,0,0,33.02,351,22.74,8204.0
2023-04-13,3,4,0,0,0,33.14,310,19.83,5912.05
2023-04-14,4,4,0,0,0,32.19,291,24.34,6403.88
2023-04-15,5,4,1,0,0,33.44,408,25.13,10038.12
2023-04-16,6,4,1,1,0,34.53,580,26.58,16651.53
2023-04-17,0,4,0,1,0,37.45,558,25.08,14691.69
2023-04-18,1,4,0,1,0,33.98,503,25.26,13871.16
2023-04-19,2,4,0,1,0,34.1,528,21.69,12321.38
2023-04-20,3,4,0,1,0,33.39,459,22.85,11343.54
2023-04-21,4,4,0,0,0,29.65,308,21.03,6798.76
2023-04-22,5,4,1,0,0,33.37,425,19.24,8149.99
2023-04-23,6,4,1,0,0,33.49,415,21.45,9228.96
2023-04-24,0,4,0,0,0,38.23,397,17.48,7130.03
2023-04-25,1,4,0,0,0,32.86,400,20.32,9177.91
2023-04-26,2,4,0,0,0,33.78,384,19.78,9213.2
2023-04-27,3,4,0,0,0,33.04,340,17.72,6571.47
2023-04-28,4,4,0,0,0,30.7,369,22.28,8454.22
