Date,Visitors,Promotion,Weekend,Holiday,Temperature,Average_Order_Value,Sales
1/1/2025,306,0,0,1,26.4,1110.29,401.39
1/2/2025,194,0,0,0,24.6,792.9,163.06
1/3/2025,227,0,0,0,24.4,966.08,257.94
1/4/2025,223,0,1,0,22.7,778.31,218.97
1/5/2025,314,0,1,0,23.1,960.03,280.84
1/6/2025,315,1,0,0,22.3,880.54,322.98
1/7/2025,205,0,0,0,20.5,844.4,202.15
1/8/2025,183,0,0,0,24.2,1070.68,169.96
1/9/2025,208,0,0,0,24.5,1053.77,231.3
1/10/2025,230,0,0,0,29.6,862.87,194.59
1/11/2025,235,0,1,0,28.5,935.1,268.33
1/12/2025,262,0,1,0,26.6,1008.37,298.01
1/13/2025,285,1,0,0,29.8,1081.32,331.96
1/14/2025,289,1,0,0,28.6,995.39,324.57
1/15/2025,279,1,0,0,21.9,952.62,303.87
1/16/2025,283,0,0,1,28.2,1138.13,386.47
1/17/2025,214,0,0,0,27.6,1001.76,238.63
1/18/2025,262,0,1,0,25.7,1054.41,286.19
1/19/2025,246,0,1,0,23.6,748.15,230.95
1/20/2025,246,0,0,0,27.8,787.22,189.69
1/21/2025,276,1,0,0,22.5,1124.57,357.04
1/22/2025,262,0,0,0,26.8,760.36,202.53
1/23/2025,296,1,0,0,25.7,1131.47,376.69
1/24/2025,244,0,0,0,24.6,880.66,216.91
1/25/2025,326,1,1,0,29.6,973.12,413.36
1/26/2025,267,0,1,0,27.3,918.49,289.4
1/27/2025,261,0,0,0,27.8,778.92,198.73
1/28/2025,226,0,0,0,29.4,974.16,254.54
1/29/2025,240,0,0,0,27.7,1052.07,260.37
1/30/2025,227,0,0,0,28.7,978.35,231.97
1/31/2025,283,1,0,0,29.6,997.81,308.95
2/1/2025,247,0,1,0,29.2,761.58,205.79
2/2/2025,253,0,1,0,28.8,765.04,208.18
2/3/2025,291,0,0,1,31.9,940.33,343.23
2/4/2025,246,0,0,0,30.9,898.89,237.48
2/5/2025,250,0,0,0,28.4,910.21,238.08
2/6/2025,227,0,0,0,26.8,978.16,256.88
2/7/2025,238,0,0,0,30,738.36,161.69
2/8/2025,265,0,1,0,29.3,1018.01,300.74
2/9/2025,329,0,1,1,32.4,1122.5,437.1
2/10/2025,251,0,0,0,31.1,870.58,204.31
2/11/2025,247,0,0,0,30.7,792.92,225.13
2/12/2025,254,1,0,0,29.3,1132.42,322.1
2/13/2025,225,0,0,0,27.7,872.99,184.22
2/14/2025,217,0,0,0,29.1,898.2,156.11
2/15/2025,263,0,1,0,30.6,934.53,258.82
2/16/2025,250,0,1,0,26.2,817.81,229.91
